Corpus,Gender,Vowel,F1.50_norm,F2.50_norm
CBAS,Female,a,0.6901525941046543,1.4403998476605528
CBAS,Female,e,0.5221957319252993,1.6394466317321865
CBAS,Female,i,0.3637877259177306,1.5098447160251705
CBAS,Female,o,0.5134322667190522,1.0049898780448252
CBAS,Female,u,0.3534585199279524,1.0002933002425747
CBAS,Male,a,0.6422334877655606,1.3506214653672841
CBAS,Male,e,0.4952783782744,1.71887833502896
CBAS,Male,i,0.4204705269952644,2.118411836594991
CBAS,Male,o,0.44648612443929825,0.9488188889046454
CBAS,Male,u,0.3846128816135945,0.9148446137871205
DIMEx100,Female,a,0.6294759017620164,1.5506967466476886
DIMEx100,Female,e,0.4446451345504792,1.7765417367398315
DIMEx100,Female,i,0.2968040337473256,2.1908898301954762
DIMEx100,Female,o,0.44944881801172665,1.2039934642914438
DIMEx100,Female,u,0.3270717829669559,1.0931274261476667
DIMEx100,Male,a,0.5887360078389188,1.5312806989181944
DIMEx100,Male,e,0.41658351109239433,1.801057371950466
DIMEx100,Male,i,0.301354124733719,2.1924510480464967
DIMEx100,Male,o,0.4301069118735658,1.152143529487957
DIMEx100,Male,u,0.33035379055073893,1.202871760024639
